#GTSRCE  label  type  lat  lon  z_srce  elev
GTSRCE  ST0  LATLON  35.5249  -117.3646  0  0.0
GTSRCE  ST1  LATLON  35.8157  -117.5975  0  0.0
GTSRCE  ST2  LATLON  36.2714  -117.5922  0  0.0
GTSRCE  ST3  LATLON  35.9825  -117.8089  0  0.0
GTSRCE  ST4  LATLON  35.4795  -117.6821  0  0.0
GTSRCE  ST5  LATLON  36.0579  -117.4891  0  0.0
GTSRCE  ST6  LATLON  35.8909  -117.2834  0  0.0
GTSRCE  ST7  LATLON  35.6923  -117.7505  0  0.0
GTSRCE  ST8  LATLON  35.8085  -117.7649  0  0.0
GTSRCE  ST9  LATLON  35.6084  -117.8905  0  0.0
GTSRCE  ST10  LATLON  36.0252  -117.7653  0  0.0
GTSRCE  ST11  LATLON  36.1175  -117.8549  0  0.0
GTSRCE  ST12  LATLON  35.9479  -117.6504  0  0.0
GTSRCE  ST13  LATLON  35.6651  -117.4237  0  0.0
GTSRCE  ST14  LATLON  35.8291  -117.3555  0  0.0
GTSRCE  ST15  LATLON  35.6220  -117.5691  0  0.0
GTSRCE  ST16  LATLON  35.4783  -117.5602  0  0.0
GTSRCE  ST17  LATLON  35.5893  -117.2869  0  0.0
GTSRCE  ST18  LATLON  35.5996  -117.4927  0  0.0
GTSRCE  ST19  LATLON  35.6455  -117.4776  0  0.0
GTSRCE  ST20  LATLON  35.8855  -117.7048  0  0.0
GTSRCE  ST21  LATLON  35.7705  -117.5997  0  0.0
GTSRCE  ST22  LATLON  35.9023  -117.7018  0  0.0
GTSRCE  ST23  LATLON  35.7224  -117.5719  0  0.0
GTSRCE  ST24  LATLON  35.6012  -117.3811  0  0.0
GTSRCE  ST25  LATLON  35.6976  -117.6032  0  0.0
GTSRCE  ST26  LATLON  35.5761  -117.4187  0  0.0
