time,evid,arid,phase,network,station
2000-12-13T15:01:11.070000,1,1,P,X,ST0 
2000-12-13T15:01:16.900000,1,2,S,X,ST0 
2000-12-13T15:01:04.620000,1,3,P,X,ST1 
2000-12-13T15:01:07.030000,1,4,S,X,ST1 
2000-12-13T15:01:11.230000,1,5,S,X,ST2 
2000-12-13T15:01:03.360000,1,6,P,X,ST3 
2000-12-13T15:01:15.860000,1,7,S,X,ST4 
2000-12-13T15:01:07.350000,1,8,S,X,ST5 
2000-12-13T15:01:11.360000,1,9,S,X,ST6 
2000-12-13T15:01:06.670000,1,10,P,X,ST7 
2000-12-13T15:01:07.760000,1,11,S,X,ST8 
2000-12-13T15:01:13.550000,1,12,S,X,ST9 
2000-12-13T15:01:03.170000,1,13,P,X,ST10
2000-12-13T15:01:05.610000,1,14,S,X,ST10
2000-12-13T15:01:05.140000,1,15,P,X,ST11
2000-12-13T15:01:08.290000,1,16,S,X,ST11
2000-12-13T15:01:02.050000,1,17,P,X,ST12
2000-12-13T15:01:02.700000,1,18,S,X,ST12
2000-12-13T15:01:07.800000,1,19,P,X,ST13
2000-12-13T15:01:12.280000,1,20,S,X,ST15
2000-12-13T15:01:09.980000,1,21,P,X,ST16
2000-12-13T15:01:16.400000,1,22,S,X,ST16
2000-12-13T15:01:13.500000,1,23,S,X,ST18
2000-12-13T15:01:07.790000,1,24,P,X,ST19
2000-12-13T15:01:03.170000,1,25,P,X,ST20
2000-12-13T15:01:05.330000,1,26,P,X,ST21
2000-12-13T15:01:02.750000,1,27,P,X,ST22
2000-12-13T15:01:09.760000,1,28,S,X,ST23
2000-12-13T15:01:09.240000,1,29,P,X,ST24
2000-12-13T15:01:06.420000,1,30,P,X,ST25
2000-12-13T15:01:09.320000,1,31,P,X,ST26
2000-12-13T15:02:21.840000,2,1,S,X,ST0 
2000-12-13T15:02:07.370000,2,2,P,X,ST1 
2000-12-13T15:02:10.650000,2,3,S,X,ST2 
2000-12-13T15:02:11.630000,2,4,P,X,ST4 
2000-12-13T15:02:06.720000,2,5,P,X,ST5 
2000-12-13T15:02:09.850000,2,6,P,X,ST6 
2000-12-13T15:02:16.100000,2,7,S,X,ST6 
2000-12-13T15:02:06.740000,2,8,P,X,ST8 
2000-12-13T15:02:09.700000,2,9,P,X,ST9 
2000-12-13T15:02:15.950000,2,10,S,X,ST9 
2000-12-13T15:02:04.230000,2,11,S,X,ST10
2000-12-13T15:02:03.280000,2,12,S,X,ST11
2000-12-13T15:02:05.100000,2,13,P,X,ST12
2000-12-13T15:02:08.150000,2,14,S,X,ST12
2000-12-13T15:02:10.530000,2,15,P,X,ST13
2000-12-13T15:02:09.390000,2,16,P,X,ST14
2000-12-13T15:02:09.960000,2,17,P,X,ST15
2000-12-13T15:02:16.550000,2,18,S,X,ST15
2000-12-13T15:02:12.240000,2,19,P,X,ST16
2000-12-13T15:02:20.230000,2,20,S,X,ST16
2000-12-13T15:02:17.870000,2,21,S,X,ST18
2000-12-13T15:02:05.660000,2,22,P,X,ST20
2000-12-13T15:02:08.830000,2,23,S,X,ST20
2000-12-13T15:02:07.960000,2,24,P,X,ST21
2000-12-13T15:02:12.980000,2,25,S,X,ST21
2000-12-13T15:02:05.310000,2,26,P,X,ST22
2000-12-13T15:02:08.420000,2,27,S,X,ST22
2000-12-13T15:02:08.620000,2,28,P,X,ST23
2000-12-13T15:02:14.230000,2,29,S,X,ST23
2000-12-13T15:02:19.610000,2,30,S,X,ST26
2000-12-13T15:03:09.710000,3,1,P,X,ST0 
2000-12-13T15:03:15.740000,3,2,S,X,ST0 
2000-12-13T15:03:06.070000,3,3,S,X,ST1 
2000-12-13T15:03:08.020000,3,4,P,X,ST2 
2000-12-13T15:03:13.000000,3,5,S,X,ST2 
2000-12-13T15:03:05.320000,3,6,S,X,ST3 
2000-12-13T15:03:07.450000,3,7,P,X,ST6 
2000-12-13T15:03:07.110000,3,8,P,X,ST9 
2000-12-13T15:03:11.350000,3,9,S,X,ST9 
2000-12-13T15:03:03.830000,3,10,P,X,ST10
2000-12-13T15:03:09.180000,3,11,S,X,ST11
2000-12-13T15:03:06.590000,3,12,P,X,ST14
2000-12-13T15:03:07.430000,3,13,P,X,ST18
2000-12-13T15:03:11.970000,3,14,S,X,ST18
2000-12-13T15:03:07.000000,3,15,P,X,ST19
2000-12-13T15:03:02.290000,3,16,P,X,ST20
2000-12-13T15:03:03.120000,3,17,S,X,ST20
2000-12-13T15:03:04.560000,3,18,P,X,ST21
2000-12-13T15:03:06.920000,3,19,S,X,ST21
2000-12-13T15:03:02.290000,3,20,P,X,ST22
2000-12-13T15:03:03.140000,3,21,S,X,ST22
2000-12-13T15:03:05.250000,3,22,P,X,ST23
2000-12-13T15:03:08.480000,3,23,P,X,ST24
2000-12-13T15:03:05.400000,3,24,P,X,ST25
2000-12-13T15:03:08.600000,3,25,S,X,ST25
2000-12-13T15:03:08.500000,3,26,P,X,ST26
2000-12-13T15:04:09.740000,4,1,P,X,ST0 
2000-12-13T15:04:06.030000,4,2,S,X,ST1 
2000-12-13T15:04:08.030000,4,3,P,X,ST2 
2000-12-13T15:04:05.200000,4,4,S,X,ST3 
2000-12-13T15:04:08.510000,4,5,P,X,ST4 
2000-12-13T15:04:08.960000,4,6,S,X,ST5 
