evid,latitude,longitude,depth,time,mag
1,35.9690,-117.6712,4.45,2000-12-13T15:01:00.980000,1.0
2,36.0739,-117.8310,3.15,2000-12-13T15:02:00.970000,1.0
3,35.9023,-117.7185,6.20,2000-12-13T15:03:00.980000,1.0
4,35.9060,-117.7125,6.45,2000-12-13T15:04:00.980000,1.0
5,35.9087,-117.6940,6.51,2000-12-13T15:05:01.000000,1.0
6,35.6725,-117.5121,5.90,2000-12-13T15:06:01.050000,1.0
7,35.5505,-117.3059,6.22,2000-12-13T15:07:00.980000,1.0
8,36.0472,-117.8515,3.66,2000-12-13T15:08:01.000000,1.0
9,35.9519,-117.6869,4.63,2000-12-13T15:09:00.940000,1.0
10,35.5820,-117.6008,4.79,2000-12-13T15:10:01.040000,1.0
11,35.9439,-117.6713,4.76,2000-12-13T15:11:00.930000,1.0
12,35.5914,-117.6129,4.77,2000-12-13T15:12:01.140000,1.0
13,35.9160,-117.6710,4.35,2000-12-13T15:13:01.010000,1.0
14,35.6750,-117.4712,4.83,2000-12-13T15:14:00.940000,1.0
15,35.7167,-117.4937,5.03,2000-12-13T15:15:00.920000,1.0
16,35.6774,-117.4868,3.51,2000-12-13T15:16:01.010000,1.0
17,35.8771,-117.6913,8.57,2000-12-13T15:17:00.970000,1.0
18,35.6581,-117.5365,8.38,2000-12-13T15:18:01.120000,1.0
19,35.6336,-117.4199,5.71,2000-12-13T15:19:01.020000,1.0
20,35.8965,-117.6855,5.96,2000-12-13T15:20:00.970000,1.0
21,35.5917,-117.4032,4.19,2000-12-13T15:21:00.910000,1.0
22,35.5841,-117.5775,6.04,2000-12-13T15:22:01.100000,1.0
23,35.7047,-117.5001,5.96,2000-12-13T15:23:01.000000,1.0
24,35.9297,-117.7053,6.71,2000-12-13T15:24:00.940000,1.0
25,35.8917,-117.6767,7.60,2000-12-13T15:25:01.020000,1.0
26,35.6559,-117.4472,6.36,2000-12-13T15:26:01.030000,1.0
27,35.6093,-117.5841,4.47,2000-12-13T15:27:00.970000,1.0
28,35.8852,-117.7018,5.82,2000-12-13T15:28:01.040000,1.0
29,35.8801,-117.6940,6.55,2000-12-13T15:29:01.010000,1.0
30,35.5750,-117.6019,3.00,2000-12-13T15:30:00.860000,1.0
31,35.6671,-117.4855,4.16,2000-12-13T15:31:00.980000,1.0
32,35.6844,-117.4802,4.85,2000-12-13T15:32:00.960000,1.0
33,35.9663,-117.6933,4.71,2000-12-13T15:33:00.900000,1.0
34,35.7275,-117.5410,5.52,2000-12-13T15:34:01.010000,1.0
35,35.8711,-117.6924,7.26,2000-12-13T15:35:01.080000,1.0
36,35.9098,-117.7438,9.25,2000-12-13T15:36:00.920000,1.0
37,35.7097,-117.5751,6.52,2000-12-13T15:37:01.090000,1.0
38,35.6565,-117.4903,4.70,2000-12-13T15:38:01.040000,1.0
39,35.7543,-117.5636,6.98,2000-12-13T15:39:01.050000,1.0
40,35.9227,-117.7098,5.22,2000-12-13T15:40:00.940000,1.0
41,35.8889,-117.6987,5.78,2000-12-13T15:41:01.090000,1.0
42,35.6848,-117.4916,0.72,2000-12-13T15:42:00.930000,1.0
43,35.8834,-117.6977,9.00,2000-12-13T15:43:00.920000,1.0
44,35.9478,-117.6839,4.92,2000-12-13T15:44:00.930000,1.0
45,35.6712,-117.4757,4.86,2000-12-13T15:45:00.980000,1.0
46,35.6067,-117.5704,4.31,2000-12-13T15:46:01.050000,1.0
47,35.8746,-117.6758,8.37,2000-12-13T15:47:01.020000,1.0
48,35.7330,-117.5258,3.32,2000-12-13T15:48:00.890000,1.0
49,35.9251,-117.7018,4.28,2000-12-13T15:49:01.110000,1.0
50,35.6032,-117.6025,1.38,2000-12-13T15:50:00.740000,1.0
51,35.9972,-117.6625,4.78,2000-12-13T15:51:00.990000,1.0
52,35.6650,-117.4977,5.27,2000-12-13T15:52:00.920000,1.0
53,35.9523,-117.6904,4.41,2000-12-13T15:53:00.910000,1.0
54,35.7043,-117.5374,5.92,2000-12-13T15:54:01.030000,1.0
55,35.9572,-117.6878,4.78,2000-12-13T15:55:00.920000,1.0
56,35.7508,-117.5178,4.68,2000-12-13T15:56:00.850000,1.0
57,35.9900,-117.6712,3.48,2000-12-13T15:57:00.910000,1.0
58,35.7650,-117.5744,9.19,2000-12-13T15:58:00.970000,1.0
59,35.9356,-117.6931,7.20,2000-12-13T15:59:01.050000,1.0
60,35.8803,-117.6889,5.63,2000-12-13T16:00:01.070000,1.0
61,35.9049,-117.7217,7.41,2000-12-13T16:01:01.000000,1.0
62,35.6340,-117.4294,2.82,2000-12-13T16:02:01.020000,1.0
63,35.8804,-117.6616,9.19,2000-12-13T16:03:01.000000,1.0
64,35.6198,-117.5894,5.86,2000-12-13T16:04:01.120000,1.0
65,36.0534,-117.8329,3.38,2000-12-13T16:05:01.010000,1.0
66,35.6077,-117.5952,3.75,2000-12-13T16:06:00.910000,1.0
67,35.6565,-117.4479,2.68,2000-12-13T16:07:00.980000,1.0
68,35.9261,-117.7017,5.50,2000-12-13T16:08:01.010000,1.0
69,35.6457,-117.4375,4.60,2000-12-13T16:09:01.000000,1.0
70,35.7213,-117.5195,5.76,2000-12-13T16:10:01.030000,1.0
71,35.7220,-117.5179,4.71,2000-12-13T16:11:00.920000,1.0
72,35.6694,-117.5146,6.57,2000-12-13T16:12:01.050000,1.0
73,35.9206,-117.6811,4.54,2000-12-13T16:13:01.010000,1.0
74,35.9311,-117.7207,4.69,2000-12-13T16:14:00.960000,1.0
75,35.7427,-117.5511,2.95,2000-12-13T16:15:00.920000,1.0
76,35.5899,-117.4248,4.09,2000-12-13T16:16:01.100000,1.0
77,35.9579,-117.6791,4.32,2000-12-13T16:17:00.880000,1.0
78,35.9197,-117.7083,7.20,2000-12-13T16:18:00.950000,1.0
79,35.9097,-117.6687,4.93,2000-12-13T16:19:00.940000,1.0
80,35.6490,-117.4606,4.60,2000-12-13T16:20:01.050000,1.0
81,35.6360,-117.4283,5.32,2000-12-13T16:21:01.040000,1.0
82,35.6046,-117.4111,4.89,2000-12-13T16:22:01.040000,1.0
83,35.6677,-117.4826,2.63,2000-12-13T16:23:00.940000,1.0
84,35.6768,-117.4610,4.15,2000-12-13T16:24:00.960000,1.0
85,35.8766,-117.6986,5.71,2000-12-13T16:25:01.050000,1.0
86,35.6722,-117.4720,4.58,2000-12-13T16:26:00.950000,1.0
87,35.7158,-117.5314,3.70,2000-12-13T16:27:00.910000,1.0
88,35.9053,-117.6831,5.53,2000-12-13T16:28:00.960000,1.0
89,35.8855,-117.7077,5.84,2000-12-13T16:29:01.060000,1.0
90,35.6293,-117.4273,4.28,2000-12-13T16:30:01.030000,1.0
91,35.9086,-117.6778,4.98,2000-12-13T16:31:00.960000,1.0
92,35.6750,-117.4846,1.60,2000-12-13T16:32:00.890000,1.0
93,35.9520,-117.6881,4.21,2000-12-13T16:33:00.880000,1.0
94,35.6526,-117.4484,2.49,2000-12-13T16:34:00.950000,1.0
95,35.9034,-117.7001,7.06,2000-12-13T16:35:01.020000,1.0
96,35.7199,-117.4770,3.45,2000-12-13T16:36:00.840000,1.0
97,35.6763,-117.4680,2.28,2000-12-13T16:37:00.910000,1.0
98,35.8932,-117.6833,7.82,2000-12-13T16:38:00.950000,1.0
99,35.9441,-117.7018,5.32,2000-12-13T16:39:00.890000,1.0
100,35.6482,-117.4416,3.53,2000-12-13T16:40:01.060000,1.0
101,36.0202,-117.8361,4.38,2000-12-13T16:41:01.090000,1.0
102,35.7821,-117.5551,8.64,2000-12-13T16:42:01.090000,1.0
103,35.8992,-117.7092,5.80,2000-12-13T16:43:00.990000,1.0
104,35.9705,-117.6721,2.33,2000-12-13T16:44:01.170000,1.0
105,35.6826,-117.5430,6.71,2000-12-13T16:45:01.090000,1.0
106,35.8998,-117.6777,6.72,2000-12-13T16:46:01.000000,1.0
107,35.9261,-117.7211,5.14,2000-12-13T16:47:00.990000,1.0
108,35.6455,-117.4649,5.23,2000-12-13T16:48:01.030000,1.0
109,35.7330,-117.5135,4.19,2000-12-13T16:49:00.850000,1.0
110,35.5924,-117.4135,6.05,2000-12-13T16:50:01.090000,1.0
111,35.9375,-117.7012,5.24,2000-12-13T16:51:00.940000,1.0
112,35.7015,-117.5867,6.54,2000-12-13T16:52:01.050000,1.0
113,35.7223,-117.5278,5.89,2000-12-13T16:53:01.000000,1.0
114,35.9199,-117.6888,5.38,2000-12-13T16:54:00.940000,1.0
115,35.6072,-117.4227,4.53,2000-12-13T16:55:01.220000,1.0
116,35.8927,-117.6821,7.66,2000-12-13T16:56:01.010000,1.0
117,35.8279,-117.6309,6.20,2000-12-13T16:57:01.190000,1.0
118,35.6901,-117.5086,6.73,2000-12-13T16:58:01.080000,1.0
119,35.5659,-117.6148,3.06,2000-12-13T16:59:00.930000,1.0
120,35.7134,-117.4857,4.99,2000-12-13T17:00:00.870000,1.0
121,35.7233,-117.5560,6.27,2000-12-13T17:01:01.090000,1.0
122,35.6736,-117.4811,4.17,2000-12-13T17:02:00.970000,1.0
123,35.7052,-117.5215,9.08,2000-12-13T17:03:01.090000,1.0
124,35.7217,-117.5410,5.86,2000-12-13T17:04:01.070000,1.0
125,35.8989,-117.6763,5.64,2000-12-13T17:05:00.960000,1.0
126,35.6015,-117.4227,3.28,2000-12-13T17:06:01.090000,1.0
127,35.8909,-117.6758,9.80,2000-12-13T17:07:00.980000,1.0
128,35.9332,-117.6707,3.72,2000-12-13T17:08:01.030000,1.0
129,35.7238,-117.5209,5.87,2000-12-13T17:09:00.960000,1.0
130,35.5607,-117.3136,5.52,2000-12-13T17:10:01.070000,1.0
131,35.7154,-117.4979,3.39,2000-12-13T17:11:00.880000,1.0
132,35.8983,-117.7233,9.33,2000-12-13T17:12:00.940000,1.0
133,35.6284,-117.4103,3.83,2000-12-13T17:13:00.930000,1.0
134,36.0571,-117.8382,3.01,2000-12-13T17:14:01.020000,1.0
135,35.6245,-117.4383,5.77,2000-12-13T17:15:01.080000,1.0
136,35.5668,-117.5878,5.08,2000-12-13T17:16:01.080000,1.0
137,35.5974,-117.4033,6.76,2000-12-13T17:17:00.910000,1.0
138,35.8337,-117.6481,6.45,2000-12-13T17:18:01.170000,1.0
139,35.6241,-117.4193,6.33,2000-12-13T17:19:01.060000,1.0
140,35.8864,-117.6868,10.41,2000-12-13T17:20:00.950000,1.0
141,35.7215,-117.5480,5.36,2000-12-13T17:21:00.990000,1.0
142,35.6536,-117.4644,2.12,2000-12-13T17:22:00.960000,1.0
143,35.7040,-117.5871,8.12,2000-12-13T17:23:01.050000,1.0
144,35.9120,-117.7044,8.30,2000-12-13T17:24:00.980000,1.0
145,35.7136,-117.5672,7.19,2000-12-13T17:25:01.070000,1.0
146,35.9268,-117.7231,5.16,2000-12-13T17:26:00.990000,1.0
147,35.6108,-117.4621,4.31,2000-12-13T17:27:01.030000,1.0
148,35.9010,-117.7005,7.67,2000-12-13T17:28:00.960000,1.0
149,35.6728,-117.4845,3.48,2000-12-13T17:29:00.950000,1.0
150,35.9073,-117.6766,5.10,2000-12-13T17:30:01.000000,1.0
151,35.9031,-117.6660,4.70,2000-12-13T17:31:00.890000,1.0
152,35.9477,-117.6925,4.61,2000-12-13T17:32:00.900000,1.0
