evid,network,station,phase,residual
1,X,ST10,P,-0.2493084
1,X,ST11,P,-0.25543612
1,X,ST11,S,0.06688511
1,X,ST12,P,-0.09094077
1,X,ST12,S,0.12713552
1,X,ST13,P,-0.22423899
1,X,ST15,S,0.044228196
1,X,ST16,P,-0.33088723
1,X,ST16,S,-0.08888623
1,X,ST18,S,-0.008158624
1,X,ST19,P,-0.19659501
1,X,ST20,P,0.09622759
1,X,ST21,P,0.16880566
1,X,ST22,P,-0.061775208
1,X,ST23,S,0.329418
1,X,ST24,P,-0.0783788
1,X,ST25,P,0.0066517293
1,X,ST26,P,-0.10951796
2,X,ST11,S,-0.011520624
2,X,ST12,P,0.024901748
2,X,ST12,S,0.15420407
2,X,ST13,P,-0.13276121
2,X,ST14,P,-0.06333515
2,X,ST15,P,-0.26443714
2,X,ST15,S,-0.0056845546
2,X,ST16,P,-0.14962554
2,X,ST16,S,-0.13676924
2,X,ST18,S,-0.17634529
2,X,ST20,P,0.36750615
2,X,ST20,S,0.3938268
2,X,ST21,P,0.07216084
2,X,ST21,S,0.4824317
2,X,ST22,P,0.086384654
2,X,ST22,S,0.20233223
2,X,ST23,P,-0.086006045
2,X,ST23,S,0.2422167
2,X,ST26,S,0.008235753
3,X,ST10,P,-0.14234811
3,X,ST11,S,0.057059795
3,X,ST14,P,-0.22607318
3,X,ST18,P,-0.20325762
3,X,ST18,S,-0.008158624
3,X,ST19,P,-0.15531349
3,X,ST20,P,0.025518902
3,X,ST20,S,0.2519921
3,X,ST21,P,0.16965696
3,X,ST21,S,0.5006562
3,X,ST22,P,-0.003720522
3,X,ST22,S,0.15688425
3,X,ST23,P,0.019547462
3,X,ST24,P,-0.116220295
3,X,ST25,P,0.013383061
3,X,ST25,S,0.3837656
3,X,ST26,P,-0.080972284
4,X,ST10,P,-0.14267272
4,X,ST11,P,-0.2595418
4,X,ST12,P,-0.001072228
4,X,ST12,S,0.13894552
4,X,ST13,P,-0.19633189
4,X,ST13,S,-0.06807518
4,X,ST14,P,-0.22607318
4,X,ST14,S,-0.16729164
4,X,ST15,S,0.052076936
4,X,ST16,P,-0.23769549
4,X,ST18,P,-0.20325762
4,X,ST19,P,-0.1540184
4,X,ST19,S,0.041719854
4,X,ST20,P,0.02525682
4,X,ST20,S,0.2519921
4,X,ST21,P,0.16851658
4,X,ST22,P,-0.0039075613
4,X,ST23,P,0.01826477
4,X,ST24,P,-0.116220295
4,X,ST25,S,0.3837656
4,X,ST26,P,-0.080972284
5,X,ST12,P,-0.001072228
5,X,ST12,S,0.13891026
5,X,ST13,P,-0.19633189
5,X,ST14,P,-0.22240338
5,X,ST14,S,-0.16729164
5,X,ST15,P,-0.20393127
5,X,ST17,P,-0.09629357
5,X,ST18,P,-0.2014342
5,X,ST18,S,-0.008158624
5,X,ST19,P,-0.1540184
5,X,ST20,P,0.019281454
5,X,ST20,S,0.2519921
5,X,ST21,S,0.5006562
5,X,ST22,P,-0.017460167
5,X,ST23,P,0.011533439
5,X,ST24,P,-0.122143865
5,X,ST26,P,-0.08479622
6,X,ST10,P,-0.34161204
6,X,ST11,S,-0.22833556
6,X,ST12,P,-0.1526717
6,X,ST12,S,-0.03549066
6,X,ST13,P,-0.20448557
6,X,ST13,S,-0.04101014
6,X,ST14,P,-0.25948778
6,X,ST15,S,-0.007804662
6,X,ST16,S,0.004140198
6,X,ST17,P,0.002932191
6,X,ST18,P,-0.21232757
6,X,ST18,S,-0.055713147
6,X,ST19,P,-0.21254528
6,X,ST19,S,-0.0824382
6,X,ST20,P,0.12326151
6,X,ST20,S,0.42647618
6,X,ST21,P,0.057100415
6,X,ST23,P,-0.019888878
6,X,ST24,S,0.17916894
6,X,ST26,P,-0.04908517
6,X,ST26,S,0.18101883
7,X,ST10,P,-0.23961836
7,X,ST11,P,-0.20367289
7,X,ST12,P,-0.15660262
7,X,ST13,S,-0.01565361
7,X,ST14,P,-0.120836586
7,X,ST15,P,-0.13736904
7,X,ST16,P,-0.10533708
7,X,ST17,P,0.15951496
7,X,ST17,S,0.2290768
7,X,ST20,S,0.43179956
7,X,ST21,P,0.07976276
7,X,ST21,S,0.43455374
7,X,ST22,P,0.08155435
7,X,ST22,S,0.31435204
7,X,ST23,P,-0.020381153
7,X,ST23,S,0.2595763
7,X,ST24,P,-0.15238947
7,X,ST25,P,0.0021727383
7,X,ST25,S,0.31510088
7,X,ST26,P,-0.20832989
8,X,ST11,P,-0.256504
8,X,ST11,S,0.0043901205
8,X,ST13,P,-0.13568076
8,X,ST14,P,-0.06556496
8,X,ST14,S,-0.22747523
8,X,ST15,P,-0.26401228
8,X,ST16,P,-0.14313573
8,X,ST16,S,-0.13676924
8,X,ST17,P,0.1384452
8,X,ST17,S,0.039314568
8,X,ST18,P,-0.25956053
8,X,ST18,S,-0.15772611
8,X,ST19,S,-0.08226213
8,X,ST20,P,0.34768867
8,X,ST20,S,0.3917606
8,X,ST21,P,0.073615015
8,X,ST21,S,0.48144275
8,X,ST22,S,0.197629
8,X,ST23,P,-0.08608481
8,X,ST23,S,0.24645221
8,X,ST24,P,0.039808393
8,X,ST25,P,-0.10865438
8,X,ST25,S,0.27394038
8,X,ST26,P,-0.030691177
9,X,ST10,P,-0.24112529
9,X,ST10,S,-0.09032571
9,X,ST11,S,0.06626642
9,X,ST12,P,-0.084429264
9,X,ST13,P,-0.2258285
9,X,ST15,P,-0.24457979
9,X,ST15,S,0.051269233
9,X,ST16,S,-0.08951971
9,X,ST17,P,-0.0840826
9,X,ST17,S,0.0016134977
9,X,ST18,P,-0.20964146
9,X,ST19,P,-0.18896663
9,X,ST21,P,0.17057848
9,X,ST22,P,-0.05732268
9,X,ST23,P,-0.006931901
9,X,ST25,S,0.3837656
9,X,ST26,P,-0.10987505
9,X,ST26,S,0.0463306
10,X,ST11,P,-0.3146345
10,X,ST12,P,-0.1522845
10,X,ST13,S,-0.033160746
10,X,ST15,P,-0.23055983
10,X,ST16,P,-0.13126934
10,X,ST17,P,0.038165033
10,X,ST17,S,0.2290768
10,X,ST18,P,-0.3320142
10,X,ST20,S,0.43001354
10,X,ST21,S,0.4416222
10,X,ST23,P,-0.05500263
10,X,ST24,P,0.011351407
10,X,ST24,S,0.19181311
