evid,network,station,phase,residual
1,X,ST10,P,-0.14655364
1,X,ST11,P,-0.17670774
1,X,ST11,S,-0.0051484704
1,X,ST12,P,-0.035618782
1,X,ST12,S,0.03002721
1,X,ST13,P,-0.14310965
1,X,ST15,S,-0.0018233061
1,X,ST16,P,-0.120061696
1,X,ST16,S,-0.01381433
1,X,ST18,S,-0.029456437
1,X,ST19,P,-0.14898449
1,X,ST20,P,0.10593993
1,X,ST21,P,0.13599312
1,X,ST22,P,0.09592587
1,X,ST23,S,0.18843412
1,X,ST24,P,-0.024495125
1,X,ST25,P,0.010515243
1,X,ST26,P,-0.01467815
2,X,ST11,S,-0.0051484704
2,X,ST12,P,-0.035618782
2,X,ST12,S,0.03002721
2,X,ST13,P,-0.14310965
2,X,ST14,P,-0.13551107
2,X,ST15,P,-0.17161298
2,X,ST15,S,-0.0018233061
2,X,ST16,P,-0.120061696
2,X,ST16,S,-0.01381433
2,X,ST18,S,-0.029456437
2,X,ST20,P,0.10593993
2,X,ST20,S,0.18720746
2,X,ST21,P,0.13599312
2,X,ST21,S,0.35985696
2,X,ST22,P,0.09592587
2,X,ST22,S,0.17836261
2,X,ST23,P,-0.00072842836
2,X,ST23,S,0.18843412
2,X,ST26,S,0.12061012
3,X,ST10,P,-0.14655364
3,X,ST11,S,-0.0051484704
3,X,ST14,P,-0.13551107
3,X,ST18,P,-0.17073101
3,X,ST18,S,-0.029456437
3,X,ST19,P,-0.14898449
3,X,ST20,P,0.10593993
3,X,ST20,S,0.18720746
3,X,ST21,P,0.13599312
3,X,ST21,S,0.35985696
3,X,ST22,P,0.09592587
3,X,ST22,S,0.17836261
3,X,ST23,P,-0.00072842836
3,X,ST24,P,-0.024495125
3,X,ST25,P,0.010515243
3,X,ST25,S,0.23837051
3,X,ST26,P,-0.01467815
4,X,ST10,P,-0.14655364
4,X,ST11,P,-0.17670774
4,X,ST12,P,-0.035618782
4,X,ST12,S,0.03002721
4,X,ST13,P,-0.14310965
4,X,ST13,S,-0.04143095
4,X,ST14,P,-0.13551107
4,X,ST14,S,-0.07090688
4,X,ST15,S,-0.0018233061
4,X,ST16,P,-0.120061696
4,X,ST18,P,-0.17073101
4,X,ST19,P,-0.14898449
4,X,ST19,S,-0.035601407
4,X,ST20,P,0.10593993
4,X,ST20,S,0.18720746
4,X,ST21,P,0.13599312
4,X,ST22,P,0.09592587
4,X,ST23,P,-0.00072842836
4,X,ST24,P,-0.024495125
4,X,ST25,S,0.23837051
4,X,ST26,P,-0.01467815
5,X,ST12,P,-0.035618782
5,X,ST12,S,0.03002721
5,X,ST13,P,-0.14310965
5,X,ST14,P,-0.13551107
5,X,ST14,S,-0.07090688
5,X,ST15,P,-0.17161298
5,X,ST17,P,0.04720992
5,X,ST18,P,-0.17073101
5,X,ST18,S,-0.029456437
5,X,ST19,P,-0.14898449
5,X,ST20,P,0.10593993
5,X,ST20,S,0.18720746
5,X,ST21,S,0.35985696
5,X,ST22,P,0.09592587
5,X,ST23,P,-0.00072842836
5,X,ST24,P,-0.024495125
5,X,ST26,P,-0.01467815
6,X,ST10,P,-0.14655364
6,X,ST11,S,-0.0051484704
6,X,ST12,P,-0.035618782
6,X,ST12,S,0.03002721
6,X,ST13,P,-0.14310965
6,X,ST13,S,-0.04143095
6,X,ST14,P,-0.13551107
6,X,ST15,S,-0.0018233061
6,X,ST16,S,-0.01381433
6,X,ST17,P,0.04720992
6,X,ST18,P,-0.17073101
6,X,ST18,S,-0.029456437
6,X,ST19,P,-0.14898449
6,X,ST19,S,-0.035601407
6,X,ST20,P,0.10593993
6,X,ST20,S,0.18720746
6,X,ST21,P,0.13599312
6,X,ST23,P,-0.00072842836
6,X,ST24,S,0.10450578
6,X,ST26,P,-0.01467815
6,X,ST26,S,0.12061012
7,X,ST10,P,-0.14655364
7,X,ST11,P,-0.17670774
7,X,ST12,P,-0.035618782
7,X,ST13,S,-0.04143095
7,X,ST14,P,-0.13551107
7,X,ST15,P,-0.17161298
7,X,ST16,P,-0.120061696
7,X,ST17,P,0.04720992
7,X,ST17,S,0.13418877
7,X,ST20,S,0.18720746
7,X,ST21,P,0.13599312
7,X,ST21,S,0.35985696
7,X,ST22,P,0.09592587
7,X,ST22,S,0.17836261
7,X,ST23,P,-0.00072842836
7,X,ST23,S,0.18843412
7,X,ST24,P,-0.024495125
7,X,ST25,P,0.010515243
7,X,ST25,S,0.23837051
7,X,ST26,P,-0.01467815
8,X,ST11,P,-0.17670774
8,X,ST11,S,-0.0051484704
8,X,ST13,P,-0.14310965
8,X,ST14,P,-0.13551107
8,X,ST14,S,-0.07090688
8,X,ST15,P,-0.17161298
8,X,ST16,P,-0.120061696
8,X,ST16,S,-0.01381433
8,X,ST17,P,0.04720992
8,X,ST17,S,0.13418877
8,X,ST18,P,-0.17073101
8,X,ST18,S,-0.029456437
8,X,ST19,S,-0.035601407
8,X,ST20,P,0.10593993
8,X,ST20,S,0.18720746
8,X,ST21,P,0.13599312
8,X,ST21,S,0.35985696
8,X,ST22,S,0.17836261
8,X,ST23,P,-0.00072842836
8,X,ST23,S,0.18843412
8,X,ST24,P,-0.024495125
8,X,ST25,P,0.010515243
8,X,ST25,S,0.23837051
8,X,ST26,P,-0.01467815
9,X,ST10,P,-0.14655364
9,X,ST10,S,-0.08899915
9,X,ST11,S,-0.0051484704
9,X,ST12,P,-0.035618782
9,X,ST13,P,-0.14310965
9,X,ST15,P,-0.17161298
9,X,ST15,S,-0.0018233061
9,X,ST16,S,-0.01381433
9,X,ST17,P,0.04720992
9,X,ST17,S,0.13418877
9,X,ST18,P,-0.17073101
9,X,ST19,P,-0.14898449
9,X,ST21,P,0.13599312
9,X,ST22,P,0.09592587
9,X,ST23,P,-0.00072842836
9,X,ST25,S,0.23837051
9,X,ST26,P,-0.01467815
