time,evid,arid,phase,network,station
2000-12-13T15:01:11.330000,1,1,P,X,ST0 
2000-12-13T15:01:17.440000,1,2,S,X,ST0 
2000-12-13T15:01:04.840000,1,3,P,X,ST1 
2000-12-13T15:01:07.430000,1,4,S,X,ST1 
2000-12-13T15:01:11.770000,1,5,S,X,ST2 
2000-12-13T15:01:03.740000,1,6,P,X,ST3 
2000-12-13T15:01:16.360000,1,7,S,X,ST4 
2000-12-13T15:01:08.350000,1,8,S,X,ST5 
2000-12-13T15:01:11.980000,1,9,S,X,ST6 
2000-12-13T15:01:06.850000,1,10,P,X,ST7 
2000-12-13T15:01:08.570000,1,11,S,X,ST8 
2000-12-13T15:01:14.020000,1,12,S,X,ST9 
2000-12-13T15:01:03.440000,1,13,P,X,ST10
2000-12-13T15:01:06.130000,1,14,S,X,ST10
2000-12-13T15:01:05.470000,1,15,P,X,ST11
2000-12-13T15:01:08.900000,1,16,S,X,ST11
2000-12-13T15:01:02.250000,1,17,P,X,ST12
2000-12-13T15:01:03.090000,1,18,S,X,ST12
2000-12-13T15:01:08.000000,1,19,P,X,ST13
2000-12-13T15:01:12.610000,1,20,S,X,ST15
2000-12-13T15:01:10.260000,1,21,P,X,ST16
2000-12-13T15:01:16.910000,1,22,S,X,ST16
2000-12-13T15:01:13.880000,1,23,S,X,ST18
2000-12-13T15:01:07.950000,1,24,P,X,ST19
2000-12-13T15:01:03.350000,1,25,P,X,ST20
2000-12-13T15:01:05.510000,1,26,P,X,ST21
2000-12-13T15:01:02.910000,1,27,P,X,ST22
2000-12-13T15:01:10.120000,1,28,S,X,ST23
2000-12-13T15:01:09.440000,1,29,P,X,ST24
2000-12-13T15:01:06.560000,1,30,P,X,ST25
2000-12-13T15:01:09.500000,1,31,P,X,ST26
2000-12-13T15:02:22.400000,2,1,S,X,ST0 
2000-12-13T15:02:07.560000,2,2,P,X,ST1 
2000-12-13T15:02:11.310000,2,3,S,X,ST2 
2000-12-13T15:02:11.940000,2,4,P,X,ST4 
2000-12-13T15:02:07.240000,2,5,P,X,ST5 
2000-12-13T15:02:10.200000,2,6,P,X,ST6 
2000-12-13T15:02:16.740000,2,7,S,X,ST6 
2000-12-13T15:02:07.010000,2,8,P,X,ST8 
2000-12-13T15:02:09.950000,2,9,P,X,ST9 
2000-12-13T15:02:16.390000,2,10,S,X,ST9 
2000-12-13T15:02:04.660000,2,11,S,X,ST10
2000-12-13T15:02:03.690000,2,12,S,X,ST11
2000-12-13T15:02:05.330000,2,13,P,X,ST12
2000-12-13T15:02:08.550000,2,14,S,X,ST12
2000-12-13T15:02:10.700000,2,15,P,X,ST13
2000-12-13T15:02:09.570000,2,16,P,X,ST14
2000-12-13T15:02:10.200000,2,17,P,X,ST15
2000-12-13T15:02:16.920000,2,18,S,X,ST15
2000-12-13T15:02:12.490000,2,19,P,X,ST16
2000-12-13T15:02:20.660000,2,20,S,X,ST16
2000-12-13T15:02:18.310000,2,21,S,X,ST18
2000-12-13T15:02:05.850000,2,22,P,X,ST20
2000-12-13T15:02:09.230000,2,23,S,X,ST20
2000-12-13T15:02:08.150000,2,24,P,X,ST21
2000-12-13T15:02:13.310000,2,25,S,X,ST21
2000-12-13T15:02:05.500000,2,26,P,X,ST22
2000-12-13T15:02:08.830000,2,27,S,X,ST22
2000-12-13T15:02:08.830000,2,28,P,X,ST23
2000-12-13T15:02:14.570000,2,29,S,X,ST23
2000-12-13T15:02:20.020000,2,30,S,X,ST26
2000-12-13T15:03:09.990000,3,1,P,X,ST0 
2000-12-13T15:03:16.270000,3,2,S,X,ST0 
2000-12-13T15:03:06.430000,3,3,S,X,ST1 
2000-12-13T15:03:08.360000,3,4,P,X,ST2 
2000-12-13T15:03:13.550000,3,5,S,X,ST2 
2000-12-13T15:03:06.060000,3,6,S,X,ST3 
2000-12-13T15:03:07.780000,3,7,P,X,ST6 
2000-12-13T15:03:07.330000,3,8,P,X,ST9 
2000-12-13T15:03:11.780000,3,9,S,X,ST9 
2000-12-13T15:03:04.100000,3,10,P,X,ST10
2000-12-13T15:03:09.700000,3,11,S,X,ST11
2000-12-13T15:03:06.750000,3,12,P,X,ST14
2000-12-13T15:03:07.660000,3,13,P,X,ST18
2000-12-13T15:03:12.410000,3,14,S,X,ST18
2000-12-13T15:03:07.120000,3,15,P,X,ST19
2000-12-13T15:03:02.510000,3,16,P,X,ST20
2000-12-13T15:03:03.580000,3,17,S,X,ST20
2000-12-13T15:03:04.750000,3,18,P,X,ST21
2000-12-13T15:03:07.250000,3,19,S,X,ST21
2000-12-13T15:03:02.500000,3,20,P,X,ST22
2000-12-13T15:03:03.570000,3,21,S,X,ST22
2000-12-13T15:03:05.420000,3,22,P,X,ST23
2000-12-13T15:03:08.700000,3,23,P,X,ST24
2000-12-13T15:03:05.560000,3,24,P,X,ST25
2000-12-13T15:03:08.890000,3,25,S,X,ST25
2000-12-13T15:03:08.720000,3,26,P,X,ST26
2000-12-13T15:04:10.010000,4,1,P,X,ST0 
2000-12-13T15:04:06.350000,4,2,S,X,ST1 
2000-12-13T15:04:08.360000,4,3,P,X,ST2 
2000-12-13T15:04:05.930000,4,4,S,X,ST3 
2000-12-13T15:04:08.780000,4,5,P,X,ST4 
2000-12-13T15:04:09.900000,4,6,S,X,ST5 
2000-12-13T15:04:07.840000,4,7,P,X,ST6 
2000-12-13T15:04:05.550000,4,8,P,X,ST7 
2000-12-13T15:04:08.770000,4,9,S,X,ST7 
2000-12-13T15:04:06.290000,4,10,S,X,ST8 
2000-12-13T15:04:04.100000,4,11,P,X,ST10
2000-12-13T15:04:05.980000,4,12,P,X,ST11
2000-12-13T15:04:03.130000,4,13,P,X,ST12
2000-12-13T15:04:04.650000,4,14,S,X,ST12
2000-12-13T15:04:07.360000,4,15,P,X,ST13
2000-12-13T15:04:11.900000,4,16,S,X,ST13
2000-12-13T15:04:06.800000,4,17,P,X,ST14
2000-12-13T15:04:10.760000,4,18,S,X,ST14
2000-12-13T15:04:11.030000,4,19,S,X,ST15
2000-12-13T15:04:09.210000,4,20,P,X,ST16
2000-12-13T15:04:07.690000,4,21,P,X,ST18
2000-12-13T15:04:07.070000,4,22,P,X,ST19
2000-12-13T15:04:11.380000,4,23,S,X,ST19
2000-12-13T15:04:02.460000,4,24,P,X,ST20
2000-12-13T15:04:03.610000,4,25,S,X,ST20
2000-12-13T15:04:04.700000,4,26,P,X,ST21
2000-12-13T15:04:02.500000,4,27,P,X,ST22
2000-12-13T15:04:05.440000,4,28,P,X,ST23
2000-12-13T15:04:08.760000,4,29,P,X,ST24
2000-12-13T15:04:08.840000,4,30,S,X,ST25
2000-12-13T15:04:08.750000,4,31,P,X,ST26
2000-12-13T15:05:04.030000,5,1,P,X,ST1 
2000-12-13T15:05:06.160000,5,2,S,X,ST1 
2000-12-13T15:05:08.180000,5,3,P,X,ST2 
2000-12-13T15:05:04.000000,5,4,P,X,ST3 
2000-12-13T15:05:08.820000,5,5,P,X,ST4 
2000-12-13T15:05:06.050000,5,6,P,X,ST5 
2000-12-13T15:05:09.560000,5,7,S,X,ST5 
2000-12-13T15:05:09.080000,5,8,S,X,ST7 
2000-12-13T15:05:04.200000,5,9,P,X,ST8 
2000-12-13T15:05:12.010000,5,10,S,X,ST9 
2000-12-13T15:05:02.930000,5,11,P,X,ST12
2000-12-13T15:05:04.240000,5,12,S,X,ST12
2000-12-13T15:05:07.250000,5,13,P,X,ST13
2000-12-13T15:05:06.550000,5,14,P,X,ST14
2000-12-13T15:05:10.340000,5,15,S,X,ST14
2000-12-13T15:05:06.790000,5,16,P,X,ST15
2000-12-13T15:05:09.750000,5,17,P,X,ST17
2000-12-13T15:05:07.560000,5,18,P,X,ST18
2000-12-13T15:05:12.340000,5,19,S,X,ST18
2000-12-13T15:05:07.080000,5,20,P,X,ST19
2000-12-13T15:05:02.600000,5,21,P,X,ST20
2000-12-13T15:05:03.690000,5,22,S,X,ST20
2000-12-13T15:05:07.120000,5,23,S,X,ST21
2000-12-13T15:05:02.500000,5,24,P,X,ST22
2000-12-13T15:05:05.360000,5,25,P,X,ST23
2000-12-13T15:05:08.570000,5,26,P,X,ST24
2000-12-13T15:05:08.570000,5,27,P,X,ST26
2000-12-13T15:06:05.360000,6,1,P,X,ST0 
2000-12-13T15:06:08.430000,6,2,S,X,ST0 
2000-12-13T15:06:04.650000,6,3,P,X,ST1 
2000-12-13T15:06:11.910000,6,4,P,X,ST2 
2000-12-13T15:06:19.380000,6,5,S,X,ST2 
2000-12-13T15:06:08.530000,6,6,P,X,ST3 
2000-12-13T15:06:05.790000,6,7,P,X,ST4 
2000-12-13T15:06:08.570000,6,8,P,X,ST5 
2000-12-13T15:06:13.910000,6,9,S,X,ST5 
2000-12-13T15:06:06.580000,6,10,P,X,ST6 
2000-12-13T15:06:11.040000,6,11,S,X,ST6 
2000-12-13T15:06:06.510000,6,12,P,X,ST8 
2000-12-13T15:06:08.660000,6,13,P,X,ST10
2000-12-13T15:06:17.430000,6,14,S,X,ST11
2000-12-13T15:06:06.840000,6,15,P,X,ST12
2000-12-13T15:06:10.890000,6,16,S,X,ST12
2000-12-13T15:06:03.160000,6,17,P,X,ST13
2000-12-13T15:06:04.660000,6,18,S,X,ST13
2000-12-13T15:06:05.120000,6,19,P,X,ST14
2000-12-13T15:06:04.430000,6,20,S,X,ST15
2000-12-13T15:06:08.130000,6,21,S,X,ST16
2000-12-13T15:06:05.590000,6,22,P,X,ST17
2000-12-13T15:06:03.130000,6,23,P,X,ST18
2000-12-13T15:06:04.680000,6,24,S,X,ST18
2000-12-13T15:06:02.670000,6,25,P,X,ST19
2000-12-13T15:06:04.020000,6,26,S,X,ST19
2000-12-13T15:06:06.470000,6,27,P,X,ST20
2000-12-13T15:06:10.480000,6,28,S,X,ST20
2000-12-13T15:06:03.960000,6,29,P,X,ST21
2000-12-13T15:06:12.060000,6,30,S,X,ST22
2000-12-13T15:06:03.080000,6,31,P,X,ST23
2000-12-13T15:06:06.240000,6,32,S,X,ST24
