evid,latitude,longitude,depth,time,mag
1,35.9633,-117.6710,4.92,2000-12-13T15:01:01.180000,1.0
2,36.0681,-117.8387,3.76,2000-12-13T15:02:01.090000,1.0
3,35.8991,-117.7152,6.91,2000-12-13T15:03:01.140000,1.0
4,35.9008,-117.7056,6.97,2000-12-13T15:04:01.170000,1.0
5,35.9017,-117.6909,6.84,2000-12-13T15:05:01.180000,1.0
6,35.6714,-117.5121,5.84,2000-12-13T15:06:01.150000,1.0
7,35.5537,-117.3141,6.28,2000-12-13T15:07:01.160000,1.0
8,36.0465,-117.8666,5.45,2000-12-13T15:08:01.140000,1.0
9,35.9482,-117.6854,5.45,2000-12-13T15:09:01.100000,1.0
10,35.5832,-117.5985,5.26,2000-12-13T15:10:01.150000,1.0
11,35.9367,-117.6739,5.56,2000-12-13T15:11:01.130000,1.0
12,35.5929,-117.6099,3.69,2000-12-13T15:12:01.170000,1.0
13,35.9102,-117.6715,4.84,2000-12-13T15:13:01.160000,1.0
14,35.6739,-117.4715,4.97,2000-12-13T15:14:01.010000,1.0
15,35.7144,-117.4955,5.07,2000-12-13T15:15:01.040000,1.0
16,35.6752,-117.4881,3.60,2000-12-13T15:16:01.120000,1.0
17,35.8720,-117.6895,8.76,2000-12-13T15:17:01.130000,1.0
18,35.6562,-117.5373,7.43,2000-12-13T15:18:01.270000,1.0
19,35.6327,-117.4221,5.73,2000-12-13T15:19:01.130000,1.0
20,35.8915,-117.6820,6.35,2000-12-13T15:20:01.120000,1.0
21,35.5958,-117.4071,4.11,2000-12-13T15:21:01.030000,1.0
22,35.5845,-117.5755,6.24,2000-12-13T15:22:01.220000,1.0
23,35.7039,-117.5011,5.73,2000-12-13T15:23:01.090000,1.0
24,35.9244,-117.6998,7.34,2000-12-13T15:24:01.130000,1.0
25,35.8877,-117.6694,7.10,2000-12-13T15:25:01.190000,1.0
26,35.6564,-117.4469,5.92,2000-12-13T15:26:01.120000,1.0
27,35.6108,-117.5831,4.44,2000-12-13T15:27:01.070000,1.0
28,35.8788,-117.6968,6.07,2000-12-13T15:28:01.220000,1.0
29,35.8759,-117.6910,6.87,2000-12-13T15:29:01.140000,1.0
30,35.5763,-117.5975,2.99,2000-12-13T15:30:00.950000,1.0
31,35.6658,-117.4881,3.66,2000-12-13T15:31:01.020000,1.0
32,35.6827,-117.4805,4.87,2000-12-13T15:32:01.050000,1.0
33,35.9594,-117.7047,5.77,2000-12-13T15:33:01.080000,1.0
34,35.7256,-117.5396,5.53,2000-12-13T15:34:01.080000,1.0
35,35.8639,-117.6903,7.05,2000-12-13T15:35:01.250000,1.0
36,35.9046,-117.7467,11.46,2000-12-13T15:36:01.020000,1.0
37,35.7061,-117.5733,6.44,2000-12-13T15:37:01.200000,1.0
38,35.6564,-117.4892,5.05,2000-12-13T15:38:01.130000,1.0
39,35.7520,-117.5626,6.97,2000-12-13T15:39:01.160000,1.0
40,35.9158,-117.7108,5.48,2000-12-13T15:40:01.080000,1.0
41,35.8846,-117.6899,5.98,2000-12-13T15:41:01.260000,1.0
42,35.6848,-117.4897,0.68,2000-12-13T15:42:01.030000,1.0
43,35.8769,-117.7013,9.51,2000-12-13T15:43:01.060000,1.0
44,35.9424,-117.6814,5.52,2000-12-13T15:44:01.090000,1.0
45,35.6709,-117.4749,4.86,2000-12-13T15:45:01.070000,1.0
46,35.6085,-117.5685,4.43,2000-12-13T15:46:01.170000,1.0
47,35.8716,-117.6704,8.81,2000-12-13T15:47:01.170000,1.0
48,35.7319,-117.5244,3.33,2000-12-13T15:48:00.970000,1.0
49,35.9209,-117.6999,5.12,2000-12-13T15:49:01.280000,1.0
50,35.6053,-117.5990,1.71,2000-12-13T15:50:00.920000,1.0
51,35.9914,-117.6615,5.53,2000-12-13T15:51:01.190000,1.0
52,35.6645,-117.4982,5.28,2000-12-13T15:52:00.990000,1.0
53,35.9443,-117.6901,5.00,2000-12-13T15:53:01.100000,1.0
54,35.7029,-117.5357,6.41,2000-12-13T15:54:01.140000,1.0
55,35.9538,-117.6836,5.29,2000-12-13T15:55:01.070000,1.0
56,35.7484,-117.5177,4.96,2000-12-13T15:56:00.950000,1.0
57,35.9847,-117.6728,4.83,2000-12-13T15:57:01.170000,1.0
58,35.7621,-117.5698,7.86,2000-12-13T15:58:01.140000,1.0
59,35.9319,-117.6889,7.82,2000-12-13T15:59:01.200000,1.0
60,35.8736,-117.6885,5.61,2000-12-13T16:00:01.180000,1.0
61,35.8974,-117.7250,8.74,2000-12-13T16:01:01.130000,1.0
62,35.6338,-117.4298,2.91,2000-12-13T16:02:01.120000,1.0
63,35.8740,-117.6609,9.32,2000-12-13T16:03:01.170000,1.0
64,35.6177,-117.5875,6.40,2000-12-13T16:04:01.220000,1.0
65,36.0492,-117.8349,4.33,2000-12-13T16:05:01.200000,1.0
66,35.6085,-117.5932,3.82,2000-12-13T16:06:01.020000,1.0
67,35.6543,-117.4516,2.81,2000-12-13T16:07:01.120000,1.0
68,35.9205,-117.7002,5.77,2000-12-13T16:08:01.180000,1.0
