event_num sta_num phase
0 0 P
0 10 S
1 0 S
5 6 S
5 22 S
6 12 S
9 11 P
11 16 S
12 5 P
15 19 P
16 14 S
17 19 S
17 20 S
18 18 S
19 14 S
20 7 S
22 18 S
23 23 S
24 2 P
24 18 S
27 26 P
28 10 P
29 24 S
30 1 S
31 6 S
33 13 S
34 5 P
34 16 P
34 22 P
35 6 S
37 0 S
37 10 S
37 11 S
37 21 P
38 1 S
39 1 S
39 19 S
40 12 S
42 21 S
45 1 S
45 8 P
47 2 S
47 6 P
48 10 P
48 18 P
49 10 S
49 17 S
50 9 S
50 12 S
53 24 S
55 7 S
57 19 S
58 20 P
59 9 S
59 25 S
60 1 P
61 1 S
66 17 S
67 7 S
67 21 P
69 22 P
72 2 S
72 8 P
72 10 S
73 19 S
73 23 S
74 2 S
74 12 S
75 14 S
79 18 P
80 23 S
81 1 S
85 9 S
88 12 S
89 16 S
89 23 S
90 13 S
92 7 P
92 16 S
98 0 S
98 4 S
99 13 S
99 16 S
101 5 S
101 18 S
101 23 P
101 23 S
101 26 S
103 11 S
103 22 P
105 1 S
107 22 S
109 8 S
114 0 S
115 26 P
116 22 P
117 4 S
118 9 S
120 12 S
121 22 P
122 5 S
122 19 S
123 6 S
124 4 S
125 11 S
126 22 S
127 5 S
128 25 S
129 21 S
130 17 S
131 22 S
131 25 S
135 9 S
135 25 S
136 7 S
137 12 S
137 16 P
139 2 P
139 14 S
139 20 S
141 11 S
144 18 S
148 5 S
149 3 P
150 4 S
151 18 S
152 18 P
154 1 S
154 26 P
157 7 P
157 15 S
158 0 S
158 11 P
158 18 S
159 5 S
159 7 S
160 20 S
161 5 P
164 2 P
164 11 P
167 3 S
167 7 P
168 13 S
168 16 S
170 2 S
170 23 S
172 11 S
176 14 P
177 23 S
177 24 P
178 0 P
180 6 P
182 2 P
188 12 P
191 22 S
191 24 S
192 13 S
195 16 P
196 14 P
198 1 S
198 16 P
198 18 P
200 25 S
202 24 S
203 10 S
203 11 S
206 13 S
206 24 S
208 2 S
210 23 S
211 5 S
212 6 S
212 14 S
213 5 S
214 3 S
215 25 P
215 26 S
218 14 P
218 17 S
222 25 S
225 4 S
232 25 S
234 9 S
235 16 S
236 12 S
237 5 S
237 12 S
239 1 S
239 5 S
241 7 S
241 21 P
241 22 S
242 20 P
243 11 P
246 11 S
248 0 P
248 5 S
250 1 S
256 19 P
257 7 S
260 9 P
260 11 S
262 15 S
264 23 S
269 13 S
269 18 S
275 25 S
278 13 P
280 8 S
280 18 S
280 25 S
282 0 S
282 17 S
282 19 S
283 12 S
285 23 S
285 24 S
290 3 S
294 17 S
294 19 S
297 10 S
297 11 S
298 1 S
298 4 P
299 14 P
300 22 S
302 7 S
302 11 S
303 13 S
304 14 S
304 19 P
306 1 S
306 15 S
310 7 S
312 8 S
313 7 S
314 7 S
314 26 S
316 7 S
316 12 S
317 14 P
318 2 P
318 4 P
318 11 S
318 14 P
321 20 S
324 19 S
325 9 S
325 12 S
325 16 S
325 19 S
325 20 P
325 20 S
328 6 S
331 18 P
333 25 S
334 24 S
336 9 S
338 0 S
338 5 S
340 24 S
342 10 S
343 2 S
343 24 P
343 25 S
345 8 S
346 16 S
347 6 S
347 15 P
347 15 S
351 25 S
353 1 S
353 2 S
353 9 P
353 13 S
354 5 P
356 3 S
356 9 S
358 3 S
358 24 S
359 6 S
360 17 S
362 6 S
364 1 S
365 5 S
366 12 S
373 7 S
373 13 P
374 8 S
375 15 S
377 15 S
378 22 P
378 26 S
380 21 P
381 2 S
381 25 S
382 5 P
383 0 S
383 10 S
383 16 P
383 22 S
385 24 S
388 1 S
390 10 S
391 6 P
391 14 S
395 14 S
399 23 S
401 19 S
401 21 S
402 20 P
403 14 S
404 6 S
406 19 S
408 1 S
408 8 S
411 11 P
412 0 S
413 3 P
413 8 S
413 19 P
415 18 S
415 19 P
418 15 S
421 2 S
422 6 S
423 0 S
424 16 S
425 22 S
427 22 S
430 23 S
431 2 S
435 3 S
437 3 S
438 12 S
438 13 S
439 2 S
439 15 P
441 20 S
444 17 S
445 19 S
446 0 S
446 24 S
451 13 S
451 15 P
452 7 S
453 16 S
455 15 P
457 26 S
459 22 S
462 6 P
465 10 S
465 15 S
466 3 S
466 4 S
467 18 S
468 10 P
468 15 P
475 23 S
476 19 S
476 24 P
477 21 P
478 11 S
480 9 P
481 22 S
482 19 S
482 20 S
483 16 S
484 11 S
487 9 P
489 3 P
491 9 P
491 20 S
492 13 P
495 17 P
497 12 P
497 14 S
497 20 P
499 16 S
499 19 S
500 4 S
501 16 S
502 5 P
503 18 S
504 15 P
505 5 S
505 24 P
506 8 S
508 9 S
508 19 S
508 20 S
508 21 S
510 22 P
511 6 S
514 2 S
514 11 S
514 20 S
516 10 S
516 23 P
517 22 S
520 0 S
521 22 P
522 23 P
523 10 P
523 22 S
524 14 S
524 17 P
526 14 S
526 18 S
527 16 P
532 10 S
532 24 S
533 6 P
533 16 P
534 14 S
536 2 P
538 14 P
540 5 S
541 14 S
546 12 S
547 0 P
547 25 S
549 18 P
550 15 S
551 1 P
551 11 P
551 25 S
552 2 S
555 18 P
555 25 S
556 1 S
556 6 S
559 17 S
559 21 P
560 7 P
561 15 S
562 13 P
563 26 P
565 24 P
566 15 S
567 19 S
568 4 S
572 26 S
573 26 S
575 24 S
577 23 P
579 21 P
579 22 S
582 24 S
583 1 S
584 22 S
585 1 S
586 19 P
587 12 P
587 23 S
588 5 P
590 7 P
590 24 S
591 7 S
592 10 S
594 6 P
594 18 S
601 23 P
603 9 S
603 12 S
603 14 P
604 3 P
604 7 P
604 16 S
604 24 S
605 14 S
610 5 P
612 2 P
612 19 S
614 14 S
614 22 S
616 12 P
616 16 S
617 7 S
618 10 S
619 21 S
625 21 S
626 5 S
631 24 S
633 8 S
634 1 S
634 22 P
636 3 S
636 5 S
636 15 S
639 19 P
