velest,NonLinLoc,hypoinverse,hypoDD,growclust
0.807,1.142062,0.637,0.446,2.034
0.825,2.753625,1.998,0.695,1.864
0.581,0.954219,0.755,0.94,0.222
0.535,0.150719,0.481,0.906,0.126
1.278,0.103594,0.405,0.814,0.045
1.924,1.010578,1.018,0.021,0.966
0.97,2.181969,1.934,1.339,2.074
0.696,1.744,0.361,0.519,0.662
1.116,1.020469,1.0,1.335,0.107
0.756,0.749344,0.763,1.7,1.388
1.487,0.956469,0.396,1.313,0.36
0.842,0.643188,0.926,1.025,1.119
0.974,3.595375,2.176,1.646,0.535
0.83,0.375531,0.526,0.28,1.781
0.413,1.681531,1.577,0.482,1.768
0.544,0.499422,0.372,0.303,0.047
0.539,2.248219,0.834,0.561,0.73
1.177,0.523594,0.33,0.083,1.501
0.034,0.256594,0.373,0.244,0.247
0.758,0.604781,0.484,1.325,1.692
0.746,0.877875,0.839,0.15,2.275
0.864,3.453219,2.589,1.473,2.404
0.543,0.012156,0.537,0.335,1.756
0.501,0.601188,0.154,0.789,0.244
1.058,1.204094,0.838,0.372,0.221
0.765,1.466781,0.516,0.504,1.318
1.057,2.007312,0.148,0.684,0.788
2.421,1.999938,0.824,1.237,1.94
1.144,0.251531,0.273,0.513,0.501
0.983,0.990906,2.492,1.477,1.95
0.961,0.243734,0.941,0.091,1.14
0.743,0.560891,0.878,0.475,1.134
0.633,0.492188,0.665,1.306,0.148
1.049,0.548719,0.897,0.245,0.435
0.16,3.316938,2.521,0.871,2.844
0.745,1.881188,1.004,1.263,0.044
0.769,0.993078,0.883,0.143,0.847
0.238,0.893656,1.111,0.511,1.46
1.387,0.650344,0.523,0.269,0.69
0.418,0.718312,0.543,1.134,1.261
1.15,1.339781,1.089,1.284,1.809
1.054,5.950625,0.32,0.1,1.457
0.595,1.031094,0.685,0.474,0.398
0.947,0.770406,0.809,1.247,1.964
1.55,3.223312,0.148,0.186,1.191
0.561,0.337188,1.235,0.718,0.87
1.357,1.310031,0.947,0.524,0.727
0.893,0.343859,0.328,0.154,0.713
0.113,1.127031,1.06,1.297,0.896
0.775,0.123219,0.114,0.599,1.374
1.132,0.683188,0.784,0.412,0.018
0.898,0.151328,0.355,0.124,0.879
0.329,1.276062,0.937,1.393,0.031
0.43,3.165312,1.59,0.222,1.577
0.051,0.241312,0.571,1.198,1.077
0.439,2.463094,0.977,0.52,1.06
0.516,0.942531,0.603,0.645,0.231
1.801,1.301531,0.323,0.239,1.081
1.285,0.990703,0.605,1.16,1.17
2.039,0.615594,1.012,1.424,2.387
0.569,4.885438,0.468,0.981,0.024
1.085,0.176234,0.431,0.187,0.273
0.003,1.968281,0.52,0.176,0.275
0.276,3.883062,0.706,1.265,1.31
0.433,0.520375,1.394,0.437,0.165
0.276,8.433625,0.862,0.653,0.894
