lonR,latR,depR
-117.50401,35.68575,1.235
-117.54527,35.74227,7.044
-117.56188,35.72408,6.606
-117.58206,35.60894,5.858
-117.62972,35.57696,6.228
-117.55338,35.72768,6.931
-117.53625,35.65501,8.783
-117.53591,35.7424,5.724
-117.54319,35.74388,6.46
-117.5637,35.72239,6.655
-117.52099,35.71991,7.187
-117.50437,35.70074,6.565
-117.57784,35.60622,4.824
-117.53478,35.7444,6.467
-117.5209,35.71431,5.398
-117.5309,35.65829,9.102
-117.59521,35.60064,4.771
-117.58806,35.60525,4.426
-117.52515,35.71849,6.268
-117.5058,35.67664,5.27
-117.50909,35.67383,5.034
-117.56001,35.72397,6.661
-117.49885,35.68268,5.494
-117.55758,35.72145,5.508
-117.48992,35.69924,7.072
-117.59961,35.59915,4.626
-117.4895,35.68005,1.67
-117.55129,35.74225,5.175
-117.55609,35.72763,7.119
-117.5885,35.59989,5.456
-117.59428,35.60225,5.79
-117.54124,35.71797,5.491
-117.58972,35.61605,6.988
-117.52717,35.7213,6.361
-117.5163,35.69786,6.47
-117.47257,35.66627,6.987
-117.59278,35.60342,4.297
-117.53895,35.65371,8.612
-117.5143,35.68044,8.198
-117.54638,35.73941,6.222
-117.62291,35.57468,6.045
-117.57743,35.60513,4.685
-117.54659,35.73518,6.751
-117.57923,35.60805,6.425
-117.49396,35.69817,6.858
-117.5065,35.71021,7.154
-117.51117,35.68351,6.965
-117.59296,35.60323,4.348
-117.5969,35.57301,6.64
-117.50598,35.69869,6.205
-117.62027,35.57459,6.144
-117.58179,35.60055,4.241
-117.49703,35.67934,5.536
-117.54037,35.65645,9.02
-117.53315,35.74391,5.425
-117.59254,35.60117,4.525
-117.58653,35.60103,4.33
-117.59131,35.60002,5.091
-117.5557,35.72591,6.492
-117.47532,35.67136,6.359
-117.49889,35.68443,6.427
-117.47912,35.68907,7.267
-117.59185,35.59695,5.195
-117.50309,35.69568,6.442
-117.47602,35.66511,7.109
-117.59452,35.59775,4.343
